Value,quí trọng,
grateful,biết hơn,
understand,hiểu
attitude ,thái độ,,
be balanced,thăng bằng,,
course of action,cách hành động,,
heart condition,điều kiện tấm lòng,,
honesthearted,lòng thành thật,,
life-style,kiểu sống / cách sống,,
materialism,chủ nghĩa vật chất,,
me-first attitude,tư kỷ,,
mental attitude,thái độ tâm thần,,
motivate,thúc đẩy,,
negative attitude,thái độ tiêu cực,,
new personality,nhân cách mới,,
old personality,nhân cách cũ,,
ransom,giá chuộc ,,
routine,thói quen,,
set an example,nêu gương,,
spiritual food,thức ăn thiêng liêng,,
spirituality,sự thiêng liêng,,
thinking ability,khả năng suy luận ,,
whole-souled,hết linh hồn,,
commission,công tác,
direction,sự chỉ định,
task,việc được giao
Bible highlights,phần kinh thánh nổi bật,,
Bible reading,phần đọc kinh thánh,,
body of elders,hội đồng trưởng lão,,
Christian,Tín Đồ Đấng Chríst,,
congregation,hội thánh,,
Congregation Bible Study,Buổi học kinh thánh của hội thánh,,
contribution,sự đóng góp / tiền đóng góp,,
contribution box,hộp đóng góp,,
disfellowship,khai trừ,,
donation,quyên tiền,,
elder,trưởng lão,,
elders' meeting,buổi họp trưởng lão,,
emblems,món biểu hiệu,,
Kingdom Hall,Phòng Nước Trời,,
Kingdom Ministry School,Trường Thánh Chức Nước Trời,,
library,thư viện,,
Lord's Evening Meal,Bữa Tiệc Thánh của Chúa,,
meeting ,nhóm họp,,
Memorial,Lễ Tưởng Niệm,,
microphone,mi-crô,,
ministerial servant,tôi tớ thánh chức,,
Theocratic Ministry School Review,Phần ôn lại của Trường Thánh Chức Thần Quyền,,
overseer,giám thị,,
platform,bục / thềm ,,
Coordinator of the Body of Elders,Giám thị Phối hợp của hội đồng trưởng lão,,
public talk,bài giảng công cộng,,
reader,người đọc,,
schedule,thời khóa biểu,,
secretary,thư ký / thơ ký,,
Service Meeting,nhóm họp công tác,,
service overseer,giám thị cống tác,,
talk ,bài giảng ,,
theme,chủ đề,,
Theocratic Ministry School,Trường Thánh Chức Thần Quyền,,
Watchtower Study,Buổi học Tháp Canh,,
assembly ,hội nghị,,
circuit,vòng quanh,,
circuit overseer,giám thị vòng quanh,,
convention ,hội nghị,,
district,địa hạt,,
drama,vở kịch,,
program,chương trình,,
volunteer,ngươi tình nguyện (noun), tình nguyện (verb),
Garden of Eden,vườn Ê-đen,,
Mount Sinai,Nuối Si-na-i,,
Mount Zion,Nuối Si-ôn,,
Promised Land,đất hứa,,
Sea of Galilee,Biễn Ga-lê-li,,
administration,sự quản trị,,
God's Kingdom,Nước Đức Chúa Trời (Nước Trời),,
government,chính phủ,,
issue,vấn đề,,
Kingdom,Nước / Chính Phủ,,
